"customer_id","basket_id"
3230,"B-299"
3384,"B-273"
3413,"B-282"
3508,"B-280"
3514,"B-275"
3577,"B-295"
12,"B-336"
15,"B-333"
140,"B-370"
237,"B-354"
307,"B-387"
318,"B-369"
348,"B-343"
373,"B-323"
391,"B-365"
448,"B-350"
514,"B-355"
534,"B-326"
564,"B-379"
617,"B-320"
628,"B-388"
645,"B-381"
729,"B-396"
767,"B-395"
789,"B-319"
885,"B-389"
888,"B-391"
1007,"B-344"
1046,"B-352"
1069,"B-378"
1183,"B-321"
1298,"B-334"
1374,"B-367"
1380,"B-356"
1394,"B-342"
1632,"B-397"
1672,"B-330"
1690,"B-377"
1724,"B-335"
1753,"B-375"
1777,"B-337"
1803,"B-324"
1847,"B-385"
1896,"B-394"
1908,"B-338"
2021,"B-376"
2040,"B-372"
2146,"B-368"
2149,"B-349"
2203,"B-382"
2286,"B-329"
2287,"B-361"
2305,"B-340"
2318,"B-383"
2399,"B-328"
2477,"B-374"
2489,"B-345"
2540,"B-359"
2667,"B-353"
2724,"B-348"
2766,"B-331"
2774,"B-364"
2883,"B-346"
3042,"B-318"
3082,"B-360"
3087,"B-392"
3116,"B-332"
3165,"B-393"
3166,"B-341"
3203,"B-384"
3214,"B-380"
3232,"B-317"
3248,"B-362"
3253,"B-390"
3291,"B-347"
3306,"B-351"
3311,"B-322"
3388,"B-386"
3393,"B-363"
3445,"B-327"
3509,"B-339"
3522,"B-325"
3554,"B-358"
3576,"B-357"
3577,"B-373"
3606,"B-371"
3626,"B-366"
35,"B-406"
108,"B-405"
601,"B-402"
981,"B-407"
1166,"B-415"
1258,"B-411"
1584,"B-416"
1625,"B-408"
1926,"B-409"
2029,"B-413"
2106,"B-398"
2167,"B-414"
2239,"B-410"
2489,"B-399"
2607,"B-400"
2677,"B-404"
2827,"B-403"
2999,"B-412"
3116,"B-401"
17,"B-427"
132,"B-442"
200,"B-446"
446,"B-420"
664,"B-418"
870,"B-424"
949,"B-439"
954,"B-444"
1139,"B-436"
1243,"B-438"
1393,"B-437"
1447,"B-423"
1567,"B-417"
1670,"B-431"
1699,"B-434"
2050,"B-425"
2205,"B-421"
2212,"B-448"
2369,"B-441"
2421,"B-445"
2484,"B-419"
2495,"B-443"
2570,"B-432"
2755,"B-426"
2757,"B-435"
2904,"B-428"
2916,"B-430"
3133,"B-433"
3176,"B-422"
3254,"B-429"
3342,"B-447"
3423,"B-440"
17,"B-476"
102,"B-459"
405,"B-488"
422,"B-479"
426,"B-478"
427,"B-470"
516,"B-458"
602,"B-451"
617,"B-482"
644,"B-465"
736,"B-490"
767,"B-469"
815,"B-485"
903,"B-487"
918,"B-480"
1058,"B-449"
1062,"B-452"
1072,"B-477"
1081,"B-491"
1101,"B-461"
1192,"B-450"
1235,"B-474"
1297,"B-486"
1384,"B-484"
1422,"B-473"
1443,"B-471"
1537,"B-483"
1541,"B-460"
1857,"B-464"
2110,"B-454"
2268,"B-462"
2478,"B-489"
2567,"B-463"
2689,"B-492"
2774,"B-456"
2792,"B-457"
2845,"B-481"
2929,"B-455"
3031,"B-467"
3137,"B-466"
3258,"B-493"
3312,"B-475"
3391,"B-468"
3542,"B-453"
3595,"B-472"
105,"B-498"
811,"B-500"
881,"B-497"
1062,"B-504"
1692,"B-503"
2023,"B-494"
2052,"B-502"
2176,"B-499"
3249,"B-496"
3357,"B-501"
3383,"B-505"
3409,"B-495"
232,"B-506"
247,"B-511"
845,"B-514"
1221,"B-510"
1715,"B-507"
1826,"B-512"
1878,"B-508"
2186,"B-509"
2845,"B-516"
3038,"B-515"
3173,"B-513"
45,"B-561"
87,"B-549"
133,"B-534"
144,"B-545"
229,"B-548"
304,"B-565"
308,"B-536"
452,"B-538"
536,"B-521"
721,"B-523"
807,"B-558"
819,"B-518"
837,"B-543"
941,"B-546"
985,"B-552"
1001,"B-567"
1017,"B-531"
1027,"B-557"
1154,"B-526"
1199,"B-530"
1270,"B-555"
1423,"B-524"
1429,"B-529"
1611,"B-520"
1619,"B-517"
1670,"B-540"
1717,"B-525"
1718,"B-551"
1731,"B-522"
1779,"B-539"
2054,"B-569"
2147,"B-564"
2150,"B-532"
2255,"B-542"
2343,"B-570"
2385,"B-568"
2425,"B-519"
2442,"B-550"
2490,"B-541"
2495,"B-553"
2509,"B-554"
2753,"B-544"
2818,"B-533"
2858,"B-528"
2916,"B-563"
2970,"B-560"
2997,"B-537"
3085,"B-547"
3143,"B-556"
3222,"B-535"
3400,"B-566"
3476,"B-562"
3481,"B-527"
3587,"B-559"
32,"B-652"
79,"B-614"
97,"B-582"
100,"B-605"
117,"B-620"
126,"B-617"
209,"B-609"
213,"B-637"
231,"B-615"
279,"B-654"
305,"B-600"
491,"B-616"
530,"B-581"
532,"B-656"
557,"B-578"
570,"B-599"
578,"B-587"
583,"B-592"
627,"B-640"
630,"B-625"
632,"B-596"
665,"B-636"
812,"B-648"
978,"B-646"
991,"B-643"
1150,"B-583"
1153,"B-597"
1178,"B-590"
1187,"B-650"
1226,"B-630"
1283,"B-627"
1324,"B-621"
1436,"B-572"
1444,"B-602"
1486,"B-618"
1510,"B-575"
1542,"B-580"
1571,"B-645"
1578,"B-633"
1588,"B-586"
1629,"B-641"
1692,"B-579"
1715,"B-653"
1726,"B-588"
1804,"B-651"
1807,"B-573"
1809,"B-649"
1816,"B-601"
1858,"B-607"
1901,"B-611"
1950,"B-576"
1963,"B-594"
2275,"B-577"
2303,"B-589"
2382,"B-622"
2402,"B-635"
2411,"B-606"
2428,"B-593"
2477,"B-604"
2498,"B-613"
2593,"B-628"
2689,"B-595"
2692,"B-608"
2699,"B-603"
2720,"B-634"
2744,"B-639"
2945,"B-598"
3014,"B-631"
3024,"B-644"
3054,"B-610"
3102,"B-612"
3148,"B-632"
3167,"B-629"
3168,"B-642"
3176,"B-623"
3186,"B-619"
3268,"B-584"
3334,"B-585"
3352,"B-638"
3415,"B-647"
3514,"B-574"
3518,"B-591"
3545,"B-624"
3583,"B-655"
3589,"B-626"
3603,"B-571"
42,"B-673"
126,"B-678"
401,"B-686"
503,"B-660"
534,"B-681"
645,"B-670"
816,"B-683"
943,"B-680"
973,"B-668"
1116,"B-657"
1295,"B-662"
1408,"B-663"
1523,"B-682"
1530,"B-661"
1580,"B-685"
1596,"B-658"
1659,"B-666"
1660,"B-679"
1807,"B-665"
1927,"B-675"
2042,"B-676"
2245,"B-689"
2276,"B-688"
2520,"B-687"
2822,"B-672"
2964,"B-677"
3106,"B-674"
3185,"B-684"
3203,"B-664"
3290,"B-669"
3346,"B-659"
3462,"B-671"
3465,"B-667"
269,"B-710"
336,"B-699"
574,"B-706"
1143,"B-693"
1148,"B-694"
1163,"B-708"
1202,"B-702"
1220,"B-697"
1279,"B-700"
1296,"B-692"
1593,"B-707"
1661,"B-690"
1937,"B-701"
2101,"B-698"
2226,"B-695"
2263,"B-709"
2653,"B-703"
3027,"B-696"
3084,"B-691"
3317,"B-704"
3507,"B-705"
16,"B-755"
38,"B-746"
366,"B-774"
409,"B-723"
417,"B-736"
527,"B-730"
550,"B-726"
557,"B-724"
652,"B-713"
854,"B-728"
906,"B-711"
982,"B-750"
986,"B-752"
1076,"B-763"
1082,"B-765"
1101,"B-753"
1149,"B-735"
1207,"B-742"
1216,"B-712"
1310,"B-768"
1354,"B-740"
1439,"B-715"
1473,"B-734"
1584,"B-720"
1691,"B-719"
1729,"B-769"
1839,"B-760"
1879,"B-749"
1904,"B-751"
1938,"B-773"
1992,"B-764"
2000,"B-761"
2020,"B-745"
2076,"B-722"
2099,"B-747"
2100,"B-770"
2368,"B-743"
2455,"B-739"
2494,"B-731"
2544,"B-754"
2581,"B-725"
2680,"B-741"
2685,"B-714"
2728,"B-738"
2729,"B-775"
2736,"B-756"
2771,"B-776"
2859,"B-758"
2861,"B-716"
2877,"B-744"
2909,"B-759"
2944,"B-729"
3068,"B-748"
3082,"B-732"
3093,"B-767"
3125,"B-718"
3133,"B-757"
3218,"B-766"
3220,"B-737"
3247,"B-733"
3282,"B-762"
3341,"B-727"
3351,"B-771"
3357,"B-777"
3382,"B-772"
3386,"B-721"
3453,"B-717"
3465,"B-778"
3598,"B-779"
245,"B-788"
284,"B-792"
568,"B-798"
734,"B-800"
814,"B-791"
848,"B-803"
893,"B-790"
1349,"B-794"
1360,"B-786"
1403,"B-785"
1877,"B-787"
1879,"B-795"
2028,"B-784"
2112,"B-780"
2162,"B-796"
2533,"B-797"
2624,"B-799"
2636,"B-781"
2755,"B-789"
2767,"B-801"
3006,"B-804"
3289,"B-782"
3453,"B-783"
3508,"B-802"
3580,"B-793"
11,"B-925"
33,"B-853"
66,"B-922"
81,"B-915"
108,"B-871"
120,"B-906"
138,"B-900"
182,"B-831"
193,"B-880"
245,"B-827"
253,"B-866"
300,"B-855"
323,"B-835"
324,"B-858"
374,"B-840"
398,"B-908"
420,"B-854"
445,"B-837"
475,"B-829"
505,"B-902"
537,"B-816"
624,"B-841"
634,"B-870"
641,"B-852"
653,"B-872"
678,"B-865"
686,"B-850"
692,"B-813"
704,"B-877"
750,"B-814"
781,"B-881"
784,"B-845"
826,"B-893"
845,"B-836"
850,"B-910"
865,"B-921"
925,"B-846"
933,"B-805"
937,"B-861"
989,"B-842"
992,"B-826"
1001,"B-862"
1023,"B-919"
1089,"B-923"
1110,"B-822"
1148,"B-878"
1186,"B-834"
1220,"B-848"
1234,"B-874"
1306,"B-929"
1308,"B-917"
1356,"B-912"
1360,"B-897"
1367,"B-894"
1375,"B-891"
1390,"B-847"
1411,"B-809"
1432,"B-928"
1436,"B-869"
1456,"B-876"
1465,"B-914"
1537,"B-830"
1621,"B-863"
1655,"B-911"
1675,"B-920"
1686,"B-907"
1692,"B-884"
1701,"B-844"
1742,"B-890"
1764,"B-904"
1778,"B-886"
1795,"B-892"
1861,"B-930"
1871,"B-815"
1903,"B-879"
1915,"B-898"
1927,"B-849"
1983,"B-839"
1984,"B-926"
1999,"B-860"
2081,"B-927"
2106,"B-828"
2112,"B-887"
2128,"B-808"
2138,"B-823"
2160,"B-824"
2257,"B-864"
2297,"B-909"
2303,"B-817"
2308,"B-820"
2311,"B-833"
2355,"B-811"
2432,"B-895"
2475,"B-918"
2480,"B-896"
2490,"B-819"
2499,"B-843"
2552,"B-885"
2569,"B-905"
2571,"B-851"
2583,"B-818"
2625,"B-873"
2641,"B-856"
2656,"B-883"
2711,"B-888"
2849,"B-903"
2880,"B-821"
2908,"B-832"
3059,"B-899"
3072,"B-859"
3113,"B-889"
3117,"B-810"
3159,"B-806"
3165,"B-868"
3208,"B-916"
3256,"B-882"
3278,"B-812"
3285,"B-924"
3293,"B-913"
3312,"B-875"
3322,"B-901"
3346,"B-838"
3356,"B-807"
3527,"B-825"
3567,"B-857"
3579,"B-867"
14,"B-953"
77,"B-934"
113,"B-947"
223,"B-948"
293,"B-936"
400,"B-946"
514,"B-951"
541,"B-939"
657,"B-960"
881,"B-933"
1150,"B-955"
1151,"B-964"
1265,"B-962"
1312,"B-963"
1336,"B-943"
1464,"B-950"
1575,"B-942"
1587,"B-959"
1627,"B-940"
1741,"B-961"
1915,"B-932"
2087,"B-938"
2100,"B-956"
2119,"B-935"
2448,"B-941"
2474,"B-957"
2557,"B-949"
2811,"B-945"
2844,"B-937"
3135,"B-952"
3169,"B-931"
3354,"B-944"
3516,"B-954"
3541,"B-958"
45,"B-992"
88,"B-1007"
100,"B-1000"
110,"B-995"
246,"B-1024"
287,"B-986"
341,"B-1006"
444,"B-1003"
495,"B-1027"
500,"B-1008"
554,"B-1011"
557,"B-977"
595,"B-1002"
698,"B-1020"
710,"B-990"
765,"B-1019"
797,"B-969"
811,"B-1034"
886,"B-985"
914,"B-1013"
915,"B-1017"
930,"B-1015"
938,"B-999"
1127,"B-994"
1147,"B-1030"
1187,"B-1026"
1265,"B-978"
1324,"B-967"
1349,"B-970"
1527,"B-997"
1618,"B-1014"
1629,"B-1022"
1682,"B-972"
1701,"B-1005"
1841,"B-1010"
1881,"B-1001"
1901,"B-976"
1906,"B-1029"
1932,"B-993"
2001,"B-991"
2005,"B-1025"
2009,"B-1031"
2020,"B-1033"
2050,"B-973"
2184,"B-983"
2216,"B-1012"
2275,"B-987"
2314,"B-966"
2362,"B-1032"
2373,"B-1028"
2376,"B-974"
2627,"B-1009"
2665,"B-1021"
2731,"B-981"
2743,"B-984"
2759,"B-1016"
2870,"B-988"
2920,"B-982"
2936,"B-979"
2939,"B-1004"
3051,"B-975"
3160,"B-980"
3192,"B-989"
3218,"B-968"
3353,"B-1018"
3384,"B-1023"
3392,"B-965"
3412,"B-996"
3491,"B-971"
3606,"B-998"
352,"B-1036"
453,"B-1037"
1185,"B-1040"
1283,"B-1041"
2003,"B-1039"
2845,"B-1043"
2866,"B-1035"
3299,"B-1038"
3568,"B-1042"
192,"B-1051"
393,"B-1059"
492,"B-1062"
543,"B-1055"
628,"B-1056"
693,"B-1052"
851,"B-1061"
856,"B-1048"
1136,"B-1053"
1219,"B-1058"
1221,"B-1060"
1261,"B-1047"
1345,"B-1046"
1415,"B-1044"
1425,"B-1063"
1449,"B-1049"
1555,"B-1054"
2867,"B-1045"
3325,"B-1057"
3504,"B-1050"
71,"B-1090"
169,"B-1098"
204,"B-1068"
306,"B-1070"
578,"B-1074"
672,"B-1093"
881,"B-1067"
886,"B-1094"
898,"B-1082"
1113,"B-1075"
1236,"B-1100"
1297,"B-1081"
1318,"B-1092"
1370,"B-1099"
1388,"B-1065"
1406,"B-1097"
1414,"B-1078"
1470,"B-1084"
1525,"B-1087"
1530,"B-1077"
1534,"B-1091"
1558,"B-1107"
1612,"B-1079"
1633,"B-1104"
1683,"B-1064"
1873,"B-1083"
1947,"B-1069"
2119,"B-1073"
2219,"B-1066"
2240,"B-1105"
2258,"B-1086"
2384,"B-1080"
2495,"B-1076"
2673,"B-1102"
2739,"B-1072"
2764,"B-1089"
2798,"B-1106"
2884,"B-1096"
2958,"B-1071"
3191,"B-1101"
3264,"B-1088"
3390,"B-1085"
3473,"B-1095"
3621,"B-1103"
107,"B-1119"
129,"B-1124"
154,"B-1109"
219,"B-1129"
227,"B-1120"
346,"B-1125"
594,"B-1118"
1221,"B-1127"
1411,"B-1116"
1428,"B-1126"
1609,"B-1128"
1838,"B-1113"
2019,"B-1117"
2040,"B-1121"
2248,"B-1122"
2280,"B-1112"
2558,"B-1111"
2642,"B-1123"
2909,"B-1110"
2928,"B-1114"
3439,"B-1115"
3542,"B-1108"
179,"B-1132"
597,"B-1135"
1745,"B-1131"
2016,"B-1133"
2917,"B-1130"
3512,"B-1134"
29,"B-1177"
53,"B-1158"
85,"B-1203"
219,"B-1175"
267,"B-1213"
346,"B-1212"
377,"B-1190"
380,"B-1226"
533,"B-1207"
570,"B-1182"
623,"B-1154"
691,"B-1163"
718,"B-1176"
722,"B-1136"
769,"B-1225"
777,"B-1172"
788,"B-1223"
947,"B-1159"
956,"B-1173"
1003,"B-1201"
1019,"B-1162"
1046,"B-1209"
1079,"B-1147"
1134,"B-1189"
1148,"B-1185"
1157,"B-1138"
1170,"B-1194"
1207,"B-1210"
1239,"B-1196"
1264,"B-1179"
1335,"B-1152"
1418,"B-1193"
1431,"B-1174"
1439,"B-1156"
1441,"B-1184"
1462,"B-1199"
1468,"B-1195"
1470,"B-1222"
1616,"B-1200"
1645,"B-1150"
1717,"B-1197"
1746,"B-1139"
1860,"B-1218"
1870,"B-1153"
1874,"B-1178"
1934,"B-1160"
1969,"B-1202"
1977,"B-1171"
2010,"B-1155"
2014,"B-1205"
2077,"B-1143"
2152,"B-1168"
2172,"B-1180"
2197,"B-1224"
2207,"B-1144"
2220,"B-1167"
2290,"B-1140"
2303,"B-1148"
2320,"B-1191"
2323,"B-1142"
2378,"B-1165"
2457,"B-1204"
2468,"B-1161"
2508,"B-1186"
2586,"B-1151"
2655,"B-1216"
2673,"B-1157"
2695,"B-1164"
2729,"B-1146"
2848,"B-1198"
2885,"B-1183"
2975,"B-1137"
3030,"B-1220"
3059,"B-1219"
3072,"B-1145"
3080,"B-1141"
3130,"B-1217"
3153,"B-1206"
3183,"B-1215"
3216,"B-1169"
3217,"B-1188"
3283,"B-1149"
3374,"B-1221"
3398,"B-1181"
3406,"B-1187"
3431,"B-1192"
3437,"B-1170"
3450,"B-1214"
3559,"B-1211"
3580,"B-1166"
3592,"B-1208"
19,"B-1233"
168,"B-1238"
221,"B-1229"
250,"B-1247"
283,"B-1235"
290,"B-1259"
321,"B-1241"
476,"B-1270"
479,"B-1243"
491,"B-1231"
551,"B-1252"
621,"B-1239"
764,"B-1236"
904,"B-1263"
923,"B-1261"
1269,"B-1254"
1548,"B-1246"
1641,"B-1248"
1646,"B-1227"
1687,"B-1240"
1721,"B-1251"
1835,"B-1228"
1858,"B-1255"
1890,"B-1245"
1907,"B-1264"
2022,"B-1258"
2141,"B-1269"
2194,"B-1234"
2296,"B-1249"
2467,"B-1256"
2472,"B-1260"
2480,"B-1262"
2590,"B-1250"
2598,"B-1244"
2852,"B-1257"
2866,"B-1253"
2913,"B-1242"
2943,"B-1266"
3082,"B-1265"
3101,"B-1267"
3104,"B-1232"
3161,"B-1268"
3318,"B-1237"
3592,"B-1230"
2386,"B-1271"
323,"B-1286"
546,"B-1282"
644,"B-1283"
890,"B-1284"
1492,"B-1273"
1629,"B-1281"
1717,"B-1293"
1738,"B-1285"
1761,"B-1288"
1815,"B-1272"
1845,"B-1279"
2246,"B-1280"
2287,"B-1290"
2413,"B-1292"
2473,"B-1276"
2496,"B-1277"
2665,"B-1278"
2756,"B-1274"
2789,"B-1291"
3103,"B-1275"
3462,"B-1287"
3487,"B-1289"
189,"B-1320"
292,"B-1296"
294,"B-1313"
919,"B-1301"
979,"B-1321"
1034,"B-1295"
1210,"B-1315"
1273,"B-1311"
1358,"B-1298"
1409,"B-1319"
1428,"B-1318"
1539,"B-1323"
1555,"B-1309"
1606,"B-1303"
1677,"B-1307"
1758,"B-1322"
1833,"B-1302"
1920,"B-1300"
2131,"B-1310"
2138,"B-1325"
2326,"B-1317"
2379,"B-1324"
2401,"B-1299"
2484,"B-1297"
2602,"B-1316"
2868,"B-1306"
2934,"B-1305"
3007,"B-1304"
3096,"B-1308"
3357,"B-1312"
3604,"B-1314"
3625,"B-1294"
271,"B-1339"
482,"B-1344"
597,"B-1341"
616,"B-1338"
644,"B-1330"
701,"B-1331"
723,"B-1343"
804,"B-1349"
815,"B-1345"
963,"B-1337"
997,"B-1348"
1333,"B-1350"
1389,"B-1327"
1472,"B-1328"
1771,"B-1340"
1873,"B-1336"
2232,"B-1333"
2495,"B-1335"
2595,"B-1332"
2656,"B-1326"
2769,"B-1347"
2861,"B-1342"
3460,"B-1334"
3495,"B-1346"
3579,"B-1329"
187,"B-1364"
275,"B-1359"
370,"B-1365"
490,"B-1353"
1044,"B-1367"
1080,"B-1372"
1451,"B-1373"
1522,"B-1363"
1586,"B-1361"
1836,"B-1360"
1972,"B-1351"
2109,"B-1354"
2324,"B-1370"
2398,"B-1366"
2595,"B-1356"
2679,"B-1357"
2707,"B-1355"
2713,"B-1358"
2801,"B-1368"
3006,"B-1369"
3036,"B-1371"
3403,"B-1352"
3552,"B-1362"
6,"B-1374"
243,"B-1383"
261,"B-1379"
686,"B-1381"
1329,"B-1378"
1956,"B-1382"
2498,"B-1376"
2774,"B-1380"
2813,"B-1375"
3216,"B-1377"
295,"B-1410"
305,"B-1394"
331,"B-1412"
392,"B-1405"
415,"B-1417"
710,"B-1425"
751,"B-1400"
757,"B-1422"
764,"B-1415"
787,"B-1406"
828,"B-1401"
1050,"B-1396"
1068,"B-1384"
1278,"B-1388"
1304,"B-1421"
1374,"B-1414"
1391,"B-1399"
1439,"B-1411"
1627,"B-1397"
1644,"B-1389"
1677,"B-1409"
1806,"B-1391"
1962,"B-1407"
1973,"B-1403"
2373,"B-1395"
2603,"B-1393"
2606,"B-1390"
2652,"B-1424"
2687,"B-1387"
2810,"B-1404"
2852,"B-1420"
2948,"B-1398"
3040,"B-1386"
3117,"B-1402"
3178,"B-1418"
3192,"B-1413"
3264,"B-1426"
3341,"B-1419"
3386,"B-1416"
3557,"B-1392"
3579,"B-1408"
3584,"B-1385"
3595,"B-1423"
12,"B-1431"
105,"B-1514"
107,"B-1515"
119,"B-1504"
143,"B-1540"
159,"B-1427"
197,"B-1560"
222,"B-1481"
225,"B-1562"
303,"B-1520"
324,"B-1556"
343,"B-1534"
403,"B-1547"
462,"B-1469"
463,"B-1497"
527,"B-1563"
543,"B-1441"
591,"B-1456"
602,"B-1565"
609,"B-1546"
624,"B-1486"
635,"B-1505"
686,"B-1527"
706,"B-1507"
788,"B-1462"
836,"B-1552"
843,"B-1474"
847,"B-1541"
849,"B-1442"
856,"B-1549"
865,"B-1557"
868,"B-1558"
890,"B-1485"
932,"B-1508"
942,"B-1543"
951,"B-1522"
987,"B-1545"
1017,"B-1476"
1032,"B-1463"
1036,"B-1506"
1057,"B-1502"
1067,"B-1467"
1080,"B-1473"
1082,"B-1554"
1091,"B-1521"
1104,"B-1445"
1133,"B-1492"
1142,"B-1503"
1157,"B-1438"
1178,"B-1430"
1187,"B-1464"
1232,"B-1432"
1241,"B-1553"
1261,"B-1490"
1340,"B-1532"
1349,"B-1452"
1382,"B-1453"
1398,"B-1451"
1442,"B-1447"
1529,"B-1455"
1553,"B-1461"
1563,"B-1523"
1566,"B-1429"
1582,"B-1458"
1614,"B-1496"
1646,"B-1564"
1671,"B-1435"
1711,"B-1548"
1779,"B-1531"
1803,"B-1561"
1863,"B-1444"
1896,"B-1472"
1948,"B-1551"
1959,"B-1537"
2141,"B-1466"
2143,"B-1450"
2182,"B-1459"
2186,"B-1525"
2258,"B-1510"
2322,"B-1513"
2336,"B-1480"
2358,"B-1536"
2368,"B-1482"
2401,"B-1446"
2422,"B-1483"
2433,"B-1539"
2435,"B-1516"
2474,"B-1448"
2514,"B-1454"
2515,"B-1484"
2542,"B-1457"
2571,"B-1470"
2585,"B-1530"
2597,"B-1509"
2661,"B-1439"
2664,"B-1517"
2686,"B-1535"
2688,"B-1538"
2703,"B-1555"
2708,"B-1495"
2747,"B-1487"
2768,"B-1494"
2793,"B-1434"
2869,"B-1449"
2922,"B-1499"
2946,"B-1475"
2949,"B-1491"
2957,"B-1518"
2979,"B-1566"
2994,"B-1436"
3016,"B-1478"
3068,"B-1460"
3103,"B-1443"
3132,"B-1437"
